recipe_id,name,meal_type,category,cuisine,allowed_diets,ingredients,shopping_items,grocery_category,cost_usd,calories,protein_g,carbs_g,fat_g,fiber_g,iron_mg,calcium_mg,b12_mcg,vitamin_d_mcg,zinc_mg,sodium_mg,potassium_mg,magnesium_mg,gi,allergens,cross_contact_risks,risk_tags,ibs_safe,gerd_safe,diabetes_safe,hypertension_safe,is_fish,tags,bloom_bits
IBSB01,Low-FODMAP Oat Chia Bowl,Breakfast,Breakfast Bowls,Student Prep,vegetarian;pescatarian;non-vegetarian,"oats, chia, pumpkin seeds, blueberries","oats, chia, pumpkin seeds, blueberries:1 serving",Breakfast Bowls,4.2,420,17,58,13,10,5.4,340,0.4,3.2,3.8,120,790,185,48,,gluten,,1,1,1,1,0,low fodmap iron rich dairy free,0
IBSB02,Spinach Egg Quinoa Plate,Breakfast,Breakfast Bowls,Student Prep,vegetarian;pescatarian;non-vegetarian,"eggs, quinoa, spinach, bell pepper","eggs, quinoa, spinach, bell pepper:1 serving",Breakfast Bowls,4.2,455,24,42,19,7,5.9,280,1.1,3.8,3.3,230,840,170,45,eggs,,,1,1,1,1,0,low fodmap iron rich dairy free,187072209583970232584267143235420203348942246641664
IBSB03,Buckwheat Berry Breakfast,Breakfast,Breakfast Bowls,Student Prep,vegetarian;pescatarian;non-vegetarian,"buckwheat, strawberries, hemp seeds, fortified oat milk","buckwheat, strawberries, hemp seeds, fortified oat milk:1 serving",Breakfast Bowls,4.2,435,18,61,12,9,5.2,410,1.2,4.0,3.4,150,760,190,49,,,,1,1,1,1,0,low fodmap iron rich dairy free,0
IBSB04,Rice Cake Egg Stack,Breakfast,Breakfast Bowls,Student Prep,vegetarian;pescatarian;non-vegetarian,"eggs, rice cakes, spinach, avocado","eggs, rice cakes, spinach, avocado:1 serving",Breakfast Bowls,4.2,410,22,39,18,6,4.8,230,1.0,3.6,3.0,260,810,150,52,eggs,,,1,1,1,1,0,low fodmap iron rich dairy free,187072209583970232584267143235420203348942246641664
IBSB05,Kiwi Pumpkin Seed Porridge,Breakfast,Breakfast Bowls,Student Prep,vegetarian;pescatarian;non-vegetarian,"certified gluten-free oats, kiwi, pumpkin seeds","certified gluten-free oats, kiwi, pumpkin seeds:1 serving",Breakfast Bowls,4.2,430,16,63,13,10,6.0,300,0.3,2.6,4.1,110,860,210,50,,,,1,1,1,1,0,low fodmap iron rich dairy free,0
IBSB06,Egg White Millet Bowl,Breakfast,Breakfast Bowls,Student Prep,vegetarian;pescatarian;non-vegetarian,"egg whites, millet, spinach, carrots","egg whites, millet, spinach, carrots:1 serving",Breakfast Bowls,4.2,405,27,47,10,7,5.0,260,0.8,2.8,3.2,240,780,160,51,eggs,,,1,1,1,1,0,low fodmap iron rich dairy free,187072209583970232584267143235420203348942246641664
IBSB07,Cinnamon Teff Bowl,Breakfast,Breakfast Bowls,Student Prep,vegetarian;pescatarian;non-vegetarian,"teff, chia, blueberries, fortified rice milk","teff, chia, blueberries, fortified rice milk:1 serving",Breakfast Bowls,4.2,440,18,66,12,9,6.4,420,1.1,4.1,4.0,130,790,205,48,,,,1,1,1,1,0,low fodmap iron rich dairy free,0
IBSB08,Savory Polenta Egg Bowl,Breakfast,Breakfast Bowls,Student Prep,vegetarian;pescatarian;non-vegetarian,"polenta, eggs, kale, olive oil","polenta, eggs, kale, olive oil:1 serving",Breakfast Bowls,4.2,430,21,49,17,7,5.7,300,1.0,3.2,3.1,250,830,155,54,eggs,,,1,1,1,1,0,low fodmap iron rich dairy free,187072209583970232584267143235420203348942246641664
IBSL01,Quinoa Tofu Spinach Bowl,Lunch,Grain Bowls,Student Prep,vegetarian;pescatarian;non-vegetarian,"quinoa, firm tofu, spinach, carrots","quinoa, firm tofu, spinach, carrots:1 serving",Grain Bowls,5.8,610,34,72,20,11,7.4,430,1.3,3.6,4.8,420,1180,240,47,soy,,,1,1,1,1,0,low fodmap iron rich meal prep,2787805826295653479231629393210690043383808
IBSL02,Egg Fried Rice Without Garlic,Lunch,Grain Bowls,Student Prep,vegetarian;pescatarian;non-vegetarian,"rice, eggs, carrots, scallion greens","rice, eggs, carrots, scallion greens:1 serving",Grain Bowls,5.8,590,27,76,18,6,6.2,290,1.4,3.2,3.5,470,890,160,55,eggs,,,1,1,1,1,0,low fodmap iron rich meal prep,187072209583970232584267143235420203348942246641664
IBSL03,Millet Paneer-Free Power Bowl,Lunch,Grain Bowls,Student Prep,vegetarian;pescatarian;non-vegetarian,"millet, pumpkin seeds, kale, cucumber","millet, pumpkin seeds, kale, cucumber:1 serving",Grain Bowls,5.8,575,22,74,20,10,7.0,450,0.8,3.0,4.4,360,1060,230,50,,,,1,1,1,1,0,low fodmap iron rich meal prep,0
